"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"09/05/2025 06:01:28","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hereward","0s"," ","","","","","","","","","NA","","hereward via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:01:29","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","80.94.95.132","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","elliott","0s"," ","","","","","","","","","NA","","elliott via SSl VPN Portal from 80.94.95.132","User login denied due to bad credentials",""
"09/05/2025 06:01:30","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.31","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","huldah","0s"," ","","","","","","","","","NA","","huldah via SSl VPN Portal from 185.93.89.31","User login denied due to bad credentials",""
"09/05/2025 06:01:32","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.33","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","abdunnasir","0s"," ","","","","","","","","","NA","","abdunnasir via SSl VPN Portal from 185.93.89.33","User login denied due to bad credentials",""
"09/05/2025 06:01:32","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","herman","0s"," ","","","","","","","","","NA","","herman via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:01:34","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.31","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hunter","0s"," ","","","","","","","","","NA","","hunter via SSl VPN Portal from 185.93.89.31","User login denied due to bad credentials",""
"09/05/2025 06:01:35","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","80.94.95.132","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","ellis","0s"," ","","","","","","","","","NA","","ellis via SSl VPN Portal from 80.94.95.132","User login denied due to bad credentials",""
"09/05/2025 06:01:36","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.33","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","abelard","0s"," ","","","","","","","","","NA","","abelard via SSl VPN Portal from 185.93.89.33","User login denied due to bad credentials",""
"09/05/2025 06:01:36","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hermione","0s"," ","","","","","","","","","NA","","hermione via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:01:38","1154","Security Services","Application Control","Application Control Detection Alert","Standard Application Control Message String","Alert","2048","00:15:5D:01:51:04","MICROSOFT CORPORATION","X0","LAN","18:C2:41:40:22:80","SONICWALL","X1","WAN","192.168.1.225","53231","","0.0.0.0","0","","208.67.220.220","53","dns.opendns.com","0.0.0.0","0","","udp","","","97","","Default Access Rule_7","23","","","","7650","3","","","","","","General DNS","NA","","","Application Control Detection Alert: IM Skype -- UDP Activity 1, SID: 7650, AppID: 3, CatID: 11",""
